AA,4,12,9,0,0,16,64,1,6853651
AB,0,0,0,0,0,0,0,0,6860849
C0,0,0,0,0,1,2,0,0,6868095
387,255,254,48,253,127,87,235,39,6879693
A7,0,0,0,0,0,0,0,0,6886382
AA,4,12,9,0,0,16,64,1,6908141
AB,0,0,0,0,0,0,0,0,6915252
766,0,0,0,0,135,1,,,6922285
400,31,31,30,33,0,2,0,2,6929330
C0,0,0,0,0,1,2,0,0,6997930
A7,1,0,0,0,0,0,0,0,7005231
AA,4,12,9,0,0,16,64,1,7012265
AB,0,0,0,0,0,0,0,0,7019379
766,0,0,0,0,135,1,,,7026410
C0,0,0,0,0,1,2,0,0,7033520
A7,0,0,0,0,0,0,0,0,7040617
AA,4,12,9,0,0,16,64,1,7047663
AB,0,0,0,0,0,0,0,0,7054891
387,255,254,48,253,127,87,235,39,7062064
766,0,0,0,0,135,1,,,7069096
C0,0,0,0,0,1,2,0,0,7080303
A7,1,0,0,0,0,0,0,0,7087476
AA,4,12,9,0,0,16,64,1,7094920
AB,0,0,0,0,0,0,0,0,7114498
766,0,0,0,0,135,1,,,7122170
C0,0,0,0,0,1,2,0,0,7129711
A7,0,0,0,0,0,0,0,0,7137426
AA,4,12,9,0,0,16,64,1,7145096
AB,0,0,0,0,0,0,0,0,7152619
387,255,254,48,253,127,87,235,39,7160303
766,0,0,0,0,135,1,,,7167887
C0,0,0,0,0,1,2,0,0,7175492
A7,0,0,0,0,0,0,0,0,7182995
AA,4,12,9,0,0,16,64,1,7190668
AB,0,0,0,0,0,0,0,0,7198277
766,0,0,0,0,135,1,,,7205980
C0,0,0,0,0,1,2,0,0,7213696
A7,1,0,0,0,0,0,0,0,7225534
AA,4,12,9,0,0,16,64,1,7232684
AB,0,0,0,0,0,0,0,0,7240197
766,0,0,0,0,135,1,,,7247883
387,255,254,48,253,127,87,235,39,7255545
C0,0,0,0,0,1,2,0,0,7263234
A7,0,0,0,0,0,0,0,0,7270764
AA,4,12,9,0,0,16,64,1,7278367
AB,0,0,0,0,0,0,0,0,7285817
A0,64,1,67,1,66,1,144,1,7293364
A2,172,0,172,0,114,1,0,0,7312618
400,31,31,31,33,0,2,0,2,7437617
766,0,0,0,0,135,1,,,7543869
380,27,0,0,0,170,112,70,157,7551714
C0,0,0,0,0,1,2,0,0,7562618
A7,0,0,0,0,0,0,0,0,7570275
AA,4,12,9,0,0,16,64,1,7577912
AB,0,0,0,0,0,0,0,0,7589944
766,0,0,0,0,135,1,,,7597026
A7,0,0,0,0,0,0,0,0,7604452
AA,4,12,9,0,0,16,64,1,7611957
AB,0,0,0,0,0,0,0,0,7619398
C0,0,0,0,0,1,2,0,0,7627045
387,255,254,48,253,127,87,235,39,7647782
A7,0,0,0,0,0,0,255,255,7655321
AA,4,12,9,0,0,16,64,1,7662868
AB,0,0,0,0,0,0,0,0,7683781
766,0,0,0,0,135,1,,,7691410
C0,0,0,0,0,1,2,0,0,7698931
A7,0,0,0,0,0,0,0,0,7706517
AA,4,12,9,0,0,16,64,1,7714150
AB,0,0,0,0,0,0,0,0,7721715
50,0,99,,,,,,,7729346
766,0,0,0,0,135,1,,,7736977
C0,0,0,0,0,1,2,0,0,7748941
387,255,254,48,253,127,87,235,39,7756074
A7,1,0,0,0,0,0,0,0,7763540
AA,4,12,9,0,0,16,64,1,7771107
AB,0,0,0,0,0,0,0,0,7778689
766,0,0,0,0,135,1,,,7786293
C0,0,0,0,0,1,2,0,0,7793860
A7,0,0,0,0,0,0,0,0,7801510
AA,4,12,9,0,0,16,64,1,7809163
766,0,0,0,0,135,1,,,7816813
A7,0,0,0,0,0,0,255,255,7824448
50,0,149,,,,,,,7832095
766,0,0,0,0,135,1,,,7839665
C0,0,0,0,0,1,2,0,0,7847203
A7,0,0,0,0,0,0,0,0,7854689
AA,4,12,9,0,0,16,64,1,7862422
AB,0,0,0,0,0,0,0,0,7869986
387,255,254,48,253,127,87,235,39,7881970
A7,0,0,0,0,0,0,0,0,7889114
AA,4,12,9,0,0,16,64,1,7896669
400,31,31,31,33,0,2,0,2,7919073
AB,0,0,0,0,0,0,0,0,7988242
766,0,0,0,0,135,1,,,7996131
C0,0,0,0,0,1,2,0,0,8015696
A7,0,0,0,0,0,0,0,0,8023223
AA,4,12,9,0,0,16,64,1,8030730
AB,0,0,0,0,0,0,0,0,8038254
766,0,0,0,0,135,1,,,8045765
C0,0,0,0,0,1,2,0,0,8053352
387,0,1,48,253,127,87,235,39,8060985
A7,1,0,0,0,0,0,0,0,8068530
AA,4,12,9,0,0,16,64,1,8076039
AB,0,0,0,0,0,0,0,0,8083646
766,0,0,0,0,135,1,,,8091136
C0,0,0,0,0,1,2,0,0,8102927
A7,0,0,0,0,0,0,0,0,8110006
AA,4,12,9,0,0,16,64,1,8117331
AB,0,0,0,0,0,0,0,0,8124935
766,0,0,0,0,135,1,,,8132526
C0,0,0,0,0,1,2,0,0,8140084
A7,0,0,0,0,255,255,0,0,8147677
AA,4,12,9,0,0,16,64,1,8155222
AB,0,0,0,0,0,0,0,0,8162806
387,0,0,48,253,127,87,235,39,8170370
766,0,0,0,0,135,1,,,8177910
C0,0,0,0,0,1,2,0,0,8185491
A7,0,0,0,0,0,0,0,0,8193119
AA,4,12,9,0,0,16,64,1,8200663
AB,0,0,0,0,0,0,0,0,8208231
50,0,150,,,,,,,8215759
766,0,0,0,0,135,1,,,8223362
C0,0,0,0,0,1,2,0,0,8230984
766,0,0,0,0,135,1,,,8242888
C0,0,0,0,0,1,2,0,0,8250008
A7,0,0,0,0,0,0,0,0,8257375
766,0,0,0,0,135,1,,,8264862
C0,0,0,0,0,1,2,0,0,8272431
A7,0,0,0,0,0,0,0,0,8280066
AA,4,12,9,0,0,16,64,1,8287636
AB,0,0,0,0,0,0,0,0,8295153
A0,64,1,68,1,66,1,144,1,8302767
A2,190,0,190,0,114,1,0,0,8321889
400,31,31,31,33,0,2,0,2,8446888
766,0,0,0,0,135,1,,,8553139
A7,0,0,0,0,0,0,0,0,8560797
AA,4,12,9,0,0,16,64,1,8568319
AB,0,0,0,0,0,0,0,0,8575919
C0,0,0,0,0,1,2,0,0,8583554
387,0,0,48,253,127,87,235,39,8604403
A7,0,0,0,0,0,0,0,0,8616318
AA,4,12,9,0,0,16,64,1,8623532
AB,0,0,0,0,0,0,0,0,8644306
766,0,0,0,0,135,1,,,8651877
C0,0,0,0,0,1,2,0,0,8659361
A7,1,0,0,0,0,0,0,0,8666911
AA,4,12,9,0,0,16,64,1,8674448
AB,0,0,0,0,0,0,0,0,8682068
766,0,0,0,0,135,1,,,8689586
C0,0,0,0,0,1,2,0,0,8697202
387,255,254,48,253,127,87,235,39,8704840
50,0,149,,,,,,,8712475
380,27,0,0,0,170,113,70,157,8720132
A7,0,0,0,0,0,0,0,0,8727840
AA,4,12,9,0,0,16,64,1,8735516
AB,0,0,0,0,0,0,0,0,8743151
766,0,0,0,0,135,1,,,8750779
C0,0,0,0,0,1,2,0,0,8762767
A7,0,0,0,0,255,255,0,0,8769882
AA,4,12,9,0,0,16,64,1,8777342
AB,0,0,0,0,0,0,0,0,8784956
766,0,0,0,0,135,1,,,8792563
C0,0,0,0,0,1,2,0,0,8800067
387,255,254,48,253,127,87,235,39,8807655
A7,0,0,0,0,0,0,0,0,8815274
766,0,0,0,0,0,1,,,8834856
C0,0,0,0,0,1,2,0,0,8842489
A7,0,0,0,0,0,0,0,0,8850017
AA,4,12,9,0,0,16,64,1,8857599
50,0,150,,,,,,,8865108
387,255,254,56,253,127,87,235,39,8872705
766,0,0,0,0,0,1,,,8880293
A7,0,0,0,0,0,0,0,0,8887963
A7,0,0,0,0,0,0,255,255,8895618
400,31,31,31,33,0,2,0,2,8907476
AA,4,12,9,0,0,16,64,1,8976055
AB,0,0,0,0,0,0,0,0,8983757
766,0,0,0,0,0,1,,,9006273
C0,0,0,0,0,1,2,0,0,9013871
A7,0,0,0,0,0,0,0,0,9021479
AA,4,12,9,0,0,16,64,1,9029052
AB,0,0,0,0,0,0,0,0,9036667
766,0,0,0,0,0,1,,,9044264
C0,0,0,0,0,1,2,0,0,9051939
387,255,254,56,253,127,87,235,39,9059469
A7,0,0,0,0,0,0,255,255,9067018
AA,4,12,9,0,0,16,64,1,9074568
AB,0,0,0,0,0,0,0,0,9082177
766,0,0,0,0,0,1,,,9089705
C0,0,0,0,0,1,2,0,0,9097311
A7,0,0,0,0,0,0,0,0,9104851
AA,4,12,9,0,0,16,64,1,9116942
AB,0,0,0,0,0,0,0,0,9124096
380,27,0,0,0,170,114,70,157,9131629
766,0,0,0,0,0,1,,,9139215
C0,0,0,0,0,1,2,0,0,9146793
387,0,0,56,253,127,87,235,39,9154392
A7,0,0,0,0,0,0,255,255,9161986
AA,4,12,9,0,0,16,64,1,9169531
AB,0,0,0,0,0,0,0,0,9177174
766,0,0,0,0,0,1,,,9184787
C0,0,0,0,0,1,2,0,0,9192322
A7,1,0,0,0,0,0,0,0,9199933
AA,4,12,9,0,0,16,64,1,9207385
AB,0,0,0,0,0,0,0,0,9214899
766,0,0,0,0,0,1,,,9222462
A7,0,0,0,0,0,0,0,0,9230139
